location,total_sqft,bhk,bath,balcony,age_years,furnishing,parking,price_lakhs
HSR Layout,1644,3,4,0,4.0,Unfurnished,1,147.0
Sarjapur Road,1669,3,3,2,18.8,Semi-Furnished,1,89.64
Hebbal,1208,3,4,0,11.0,Unfurnished,1,76.66
Marathahalli,1197,2,3,1,17.0,Semi-Furnished,1,65.27
Indiranagar,928,2,1,3,9.8,Semi-Furnished,1,90.72
Indiranagar,1179,2,3,3,2.6,Semi-Furnished,0,124.85
Whitefield,1040,2,2,1,10.0,Semi-Furnished,1,65.14
BTM Layout,1054,2,1,1,15.4,Unfurnished,1,59.88
Marathahalli,1472,3,3,0,17.6,Unfurnished,0,69.43
Hebbal,782,1,1,0,6.9,Semi-Furnished,1,60.38
Whitefield,414,1,1,0,1.4,Unfurnished,1,22.42
Sarjapur Road,1141,2,2,0,0.2,Unfurnished,1,64.31
JP Nagar,1665,3,3,1,1.0,Semi-Furnished,0,126.9
Indiranagar,1157,2,3,1,20.2,Unfurnished,1,93.88
Indiranagar,1849,3,3,2,3.7,Semi-Furnished,1,212.78
Indiranagar,971,2,1,1,11.6,Unfurnished,0,83.9
Koramangala,2244,4,4,2,3.8,Furnished,1,301.16
Jayanagar,2084,4,3,1,6.5,Semi-Furnished,1,182.03
HSR Layout,1235,2,2,1,0.1,Unfurnished,1,116.58
Koramangala,1049,2,3,1,1.7,Semi-Furnished,1,116.03
Marathahalli,992,2,2,0,3.4,Semi-Furnished,1,58.29
Indiranagar,1246,2,2,0,6.0,Semi-Furnished,0,125.19
Koramangala,1426,3,3,0,1.1,Semi-Furnished,1,166.78
HSR Layout,1288,3,3,1,8.7,Semi-Furnished,1,123.41
HSR Layout,1422,3,3,1,2.7,Unfurnished,1,130.69
JP Nagar,1593,3,3,0,10.2,Unfurnished,0,95.48
Indiranagar,1259,2,3,2,0.6,Furnished,0,135.18
Jayanagar,1067,2,3,2,6.8,Unfurnished,0,89.41
Marathahalli,1698,3,3,2,2.1,Unfurnished,1,83.9
Whitefield,846,2,3,1,9.5,Unfurnished,0,47.19
Marathahalli,1434,3,3,0,3.1,Furnished,1,95.35
Indiranagar,1007,2,2,3,6.6,Semi-Furnished,1,107.83
Whitefield,583,1,2,1,16.3,Semi-Furnished,0,33.34
Sarjapur Road,2813,5,4,0,0.1,Furnished,1,177.61
Sarjapur Road,1154,2,1,3,0.1,Furnished,0,69.83
JP Nagar,2733,5,5,0,8.8,Semi-Furnished,1,197.94
Koramangala,2821,5,6,3,6.2,Unfurnished,1,301.88
Electronic City,1493,3,3,2,2.1,Unfurnished,1,53.79
Yelahanka,1361,3,3,2,4.1,Semi-Furnished,0,68.99
HSR Layout,1483,3,2,1,0.3,Unfurnished,1,127.03
Indiranagar,2078,4,5,2,1.3,Semi-Furnished,1,226.8
Jayanagar,1025,2,3,0,3.3,Semi-Furnished,1,96.01
Whitefield,1055,2,3,2,10.8,Semi-Furnished,0,54.42
BTM Layout,1511,3,2,1,3.9,Unfurnished,1,103.38
Koramangala,985,2,2,0,5.3,Unfurnished,0,97.26
Yelahanka,1241,2,1,1,12.4,Semi-Furnished,1,60.64
Koramangala,875,2,2,4,2.2,Unfurnished,1,90.41
Jayanagar,1392,3,3,4,7.2,Semi-Furnished,1,110.5
Jayanagar,2517,4,4,3,11.9,Semi-Furnished,1,194.06
Indiranagar,894,2,2,2,1.4,Furnished,0,89.54
Sarjapur Road,1897,4,4,1,2.6,Furnished,0,122.95
JP Nagar,1610,3,3,1,23.4,Unfurnished,0,93.46
Sarjapur Road,1188,3,4,1,24.5,Semi-Furnished,0,56.61
BTM Layout,1465,3,4,1,1.5,Unfurnished,1,93.3
Marathahalli,1822,3,2,0,0.4,Unfurnished,0,101.47
BTM Layout,368,1,1,0,1.9,Semi-Furnished,1,29.33
Electronic City,1203,3,2,0,3.0,Semi-Furnished,1,48.25
Indiranagar,375,1,2,2,3.5,Semi-Furnished,1,38.18
Whitefield,2235,4,3,0,5.8,Unfurnished,0,110.03
Koramangala,2969,5,4,1,13.8,Furnished,0,308.55
HSR Layout,973,2,3,2,2.4,Unfurnished,0,80.26
Koramangala,1152,2,2,1,11.4,Furnished,1,134.54
JP Nagar,1709,3,4,0,0.6,Semi-Furnished,1,141.96
HSR Layout,1318,2,2,0,0.3,Unfurnished,1,131.21
Koramangala,2063,4,5,0,4.2,Unfurnished,1,214.9
Jayanagar,300,1,1,2,0.4,Unfurnished,1,26.11
Indiranagar,927,2,2,2,3.0,Furnished,0,97.46
JP Nagar,2736,5,5,0,13.6,Furnished,1,198.81
Electronic City,1461,3,3,2,1.7,Semi-Furnished,1,71.96
Sarjapur Road,2072,4,4,1,7.3,Semi-Furnished,0,123.68
JP Nagar,1218,2,2,0,2.2,Semi-Furnished,1,101.55
Indiranagar,1691,3,3,3,0.3,Semi-Furnished,1,181.66
Whitefield,1474,3,3,2,4.9,Semi-Furnished,1,85.97
JP Nagar,1665,3,4,1,10.8,Unfurnished,0,120.64
Hebbal,1554,3,4,1,3.2,Furnished,1,132.14
Hebbal,1510,3,3,2,5.8,Semi-Furnished,0,118.96
JP Nagar,1186,2,3,0,13.8,Unfurnished,1,74.07
Electronic City,1061,2,2,3,9.4,Furnished,0,51.57
HSR Layout,1809,3,3,2,1.3,Semi-Furnished,0,176.68
Electronic City,834,2,2,0,7.9,Unfurnished,1,33.31
BTM Layout,1423,3,4,0,4.2,Unfurnished,1,110.27
Marathahalli,1031,2,2,4,8.2,Semi-Furnished,1,62.3
Koramangala,1566,3,3,0,4.1,Furnished,0,170.35
Whitefield,1690,3,3,0,0.8,Furnished,1,118.53
Koramangala,1046,2,3,2,5.1,Semi-Furnished,1,109.46
Koramangala,387,1,1,0,4.1,Unfurnished,1,38.4
Hebbal,1176,2,2,2,4.4,Unfurnished,0,79.76
Yelahanka,1613,3,3,0,12.7,Unfurnished,0,74.37
BTM Layout,1809,4,4,1,13.5,Furnished,1,138.75
Jayanagar,599,1,1,1,3.6,Furnished,1,55.47
Electronic City,1261,3,2,0,3.6,Unfurnished,1,54.92
Hebbal,950,2,3,2,4.3,Semi-Furnished,1,73.98
Hebbal,915,2,2,1,4.4,Semi-Furnished,1,57.26
Marathahalli,2221,4,4,0,18.0,Unfurnished,1,111.63
JP Nagar,1068,2,1,1,6.3,Semi-Furnished,1,80.92
Jayanagar,857,2,2,1,1.9,Furnished,1,90.6
Jayanagar,732,1,2,0,4.5,Unfurnished,0,60.61
HSR Layout,385,1,1,1,5.9,Furnished,0,39.38
Whitefield,1100,2,2,4,6.1,Unfurnished,1,60.98
Electronic City,478,1,2,4,5.3,Unfurnished,1,20.4
Whitefield,1445,3,2,2,1.2,Unfurnished,1,92.03
Yelahanka,1126,2,2,0,0.2,Furnished,0,63.39
Koramangala,1578,3,4,1,2.5,Unfurnished,0,162.86
Jayanagar,1251,2,2,0,3.3,Semi-Furnished,1,100.12
BTM Layout,1038,2,1,0,0.4,Semi-Furnished,0,76.73
Koramangala,1546,3,2,1,10.1,Semi-Furnished,1,139.88
HSR Layout,2734,5,6,2,2.5,Furnished,0,273.53
Hebbal,627,1,1,1,14.7,Unfurnished,1,38.72
Indiranagar,2166,4,3,3,1.0,Furnished,1,263.95
Electronic City,1485,3,2,2,0.4,Unfurnished,0,57.82
Koramangala,1229,3,4,4,4.0,Semi-Furnished,1,142.66
Indiranagar,1550,3,4,3,1.3,Semi-Furnished,0,177.02
BTM Layout,655,1,2,2,16.6,Furnished,0,45.06
JP Nagar,498,1,1,1,0.1,Unfurnished,1,33.23
Yelahanka,1307,3,3,2,3.2,Semi-Furnished,1,70.05
BTM Layout,1271,2,1,1,15.7,Unfurnished,1,73.1
JP Nagar,2174,4,5,0,2.9,Unfurnished,1,152.89
Indiranagar,1016,2,2,3,0.6,Unfurnished,0,102.27
BTM Layout,879,2,2,2,2.2,Unfurnished,0,67.41
Jayanagar,1377,3,4,0,4.1,Furnished,1,127.13
JP Nagar,1245,2,2,0,1.2,Semi-Furnished,1,94.57
BTM Layout,1521,3,2,1,3.8,Unfurnished,1,102.57
Koramangala,1417,3,3,0,10.9,Furnished,1,155.7
Electronic City,2176,4,3,3,12.4,Unfurnished,1,97.21
Indiranagar,1378,3,4,0,0.3,Semi-Furnished,1,144.06
HSR Layout,1725,3,2,1,1.1,Furnished,0,172.73
JP Nagar,1703,3,3,2,1.9,Furnished,1,164.95
BTM Layout,2030,4,3,2,5.4,Unfurnished,1,145.01
Whitefield,956,2,2,3,2.7,Semi-Furnished,1,65.14
Jayanagar,300,1,1,1,11.1,Unfurnished,1,21.83
HSR Layout,828,2,2,0,7.6,Furnished,1,80.87
Indiranagar,849,2,2,1,0.6,Semi-Furnished,0,80.38
Electronic City,1520,3,3,2,5.9,Semi-Furnished,1,72.15
Koramangala,1451,3,2,0,0.7,Unfurnished,0,159.8
Sarjapur Road,1298,3,2,2,1.8,Semi-Furnished,1,74.34
Koramangala,558,1,1,1,1.2,Semi-Furnished,1,61.7
Jayanagar,1576,3,2,1,1.1,Semi-Furnished,1,140.65
Hebbal,1129,2,2,3,5.7,Semi-Furnished,1,72.31
HSR Layout,1215,3,2,3,5.0,Furnished,0,115.41
Sarjapur Road,1481,3,3,2,1.2,Semi-Furnished,1,93.78
Sarjapur Road,842,2,2,0,27.7,Unfurnished,1,34.55
Koramangala,1185,2,2,0,3.3,Furnished,1,145.36
Jayanagar,718,1,2,1,0.6,Unfurnished,0,54.29
Koramangala,1965,4,3,2,0.8,Semi-Furnished,0,212.91
Koramangala,1985,4,5,1,5.3,Furnished,1,233.12
Whitefield,1431,3,3,2,23.2,Unfurnished,1,64.29
Marathahalli,300,1,1,0,5.1,Furnished,0,20.07
Jayanagar,1100,2,3,4,17.9,Semi-Furnished,1,93.79
Whitefield,1459,3,2,2,3.5,Semi-Furnished,1,86.12
Koramangala,1646,3,3,3,3.4,Unfurnished,1,167.29
BTM Layout,435,1,2,0,4.2,Unfurnished,1,30.87
Koramangala,507,1,1,2,7.2,Furnished,1,52.21
Indiranagar,1274,3,4,1,2.7,Unfurnished,0,108.97
Jayanagar,899,2,2,3,12.0,Semi-Furnished,1,81.59
Sarjapur Road,873,2,2,3,0.2,Unfurnished,0,43.56
Koramangala,749,1,1,0,3.5,Unfurnished,1,84.03
Yelahanka,1395,3,3,1,4.3,Semi-Furnished,1,65.78
Hebbal,2119,4,4,1,5.6,Unfurnished,0,141.87
Koramangala,2043,4,4,1,1.9,Furnished,1,246.36
Hebbal,1310,3,3,1,3.3,Semi-Furnished,1,94.83
HSR Layout,1475,3,3,3,4.0,Semi-Furnished,0,153.33
Yelahanka,690,1,1,2,7.0,Unfurnished,1,29.66
Yelahanka,1319,3,2,1,8.9,Furnished,1,75.17
Jayanagar,1171,2,2,1,8.0,Unfurnished,1,97.09
Electronic City,1373,3,2,1,2.5,Semi-Furnished,1,78.38
JP Nagar,978,2,2,3,40.0,Unfurnished,1,46.04
Koramangala,1130,2,2,0,11.3,Unfurnished,0,100.25
Indiranagar,500,1,2,1,1.8,Semi-Furnished,0,54.52
Whitefield,1056,2,2,3,1.3,Semi-Furnished,1,67.12
Marathahalli,553,1,1,1,2.3,Unfurnished,1,30.59
Yelahanka,1069,2,2,1,3.6,Semi-Furnished,0,57.43
Whitefield,2443,5,6,1,11.4,Semi-Furnished,1,144.78
Jayanagar,776,2,2,1,9.0,Unfurnished,1,57.58
Indiranagar,1592,3,4,2,11.4,Unfurnished,1,153.22
Yelahanka,2256,4,4,1,1.9,Unfurnished,1,113.82
Indiranagar,2663,5,4,1,5.4,Unfurnished,1,246.23
Hebbal,1463,3,3,1,2.0,Unfurnished,1,97.78
